site,week_start,log10_conc,z_before_ingest,ewma_before,n_obs_before
Stevenston - Stevenston East,2021-11-08,5.054,0.560,4.594,23
Stevenston - Stevenston West,2021-11-08,4.604,0.073,4.548,25
Stirling,2021-11-08,4.696,0.753,4.267,52
Stirling - University,2021-11-08,4.809,0.377,4.476,12
Stonehouse,2021-11-08,4.933,0.138,4.830,31
Strathaven,2021-11-08,4.966,0.487,4.681,28
Swinstie,2021-11-08,4.989,0.545,4.634,27
Tillicoultry,2021-11-08,5.728,0.240,5.505,32
Troqueer,2021-11-08,5.081,-0.212,5.252,48
Turriff,2021-11-08,5.109,0.397,4.770,19
Whitburn,2021-11-08,5.060,0.008,5.054,42
Winchburgh,2021-11-08,5.109,0.021,5.092,38
Allanfearn,2021-11-15,4.895,0.068,4.844,66
Allers,2021-11-15,5.376,0.361,5.117,38
Alloa,2021-11-15,4.950,-0.192,5.036,45
Alva,2021-11-15,5.420,0.396,5.133,33
Annan,2021-11-15,5.340,0.928,4.560,46
Ardoch,2021-11-15,4.808,0.235,4.657,30
Armadale,2021-11-15,5.274,0.185,5.146,39
Aviemore,2021-11-15,5.500,0.092,5.432,17
Banchory,2021-11-15,4.965,-0.223,5.175,25
Banff,2021-11-15,5.058,-0.040,5.105,26
Bathgate,2021-11-15,5.082,0.125,4.995,39
Blackburn,2021-11-15,4.976,-0.009,4.981,42
Blackridge,2021-11-15,4.865,0.604,4.327,38
Blackwood,2021-11-15,4.709,-0.017,4.723,30
Boness,2021-11-15,4.739,0.131,4.635,34
Bonnybridge,2021-11-15,4.808,-0.161,4.906,34
Bothwellbank,2021-11-15,4.838,-0.288,5.046,37
Bowhouse,2021-11-15,4.871,-0.317,5.198,31
Carbarns,2021-11-15,5.111,-0.245,5.272,63
Coldstream,2021-11-15,5.610,1.117,4.615,30
Cumnock,2021-11-15,5.300,-0.180,5.448,29
Cupar,2021-11-15,5.171,0.305,4.915,34
Dalbeattie,2021-11-15,4.602,-0.446,5.001,36
Dalmuir,2021-11-15,5.272,0.429,5.033,64
Dalmuir - Auchinairn (6298),2021-11-15,4.837,-0.251,5.101,27
Dalmuir - Auchinairn (6330),2021-11-15,4.556,-0.620,5.012,26
Dalmuir - SECC,2021-11-15,5.512,,5.207,6
Denny,2021-11-15,5.200,1.277,4.554,35
Dunblane,2021-11-15,5.361,0.553,4.924,30
Dunfermline,2021-11-15,5.644,0.628,5.173,64
Dunnswood,2021-11-15,5.150,0.166,5.027,30
Duns,2021-11-15,4.575,-0.375,4.878,30
East Calder,2021-11-15,5.002,-0.464,5.251,45
Ellon,2021-11-15,5.077,-0.059,5.131,23
Erskine,2021-11-15,4.979,,4.717,2
Eyemouth,2021-11-15,5.088,0.202,4.900,18
Fairlie,2021-11-15,3.514,-0.907,4.063,30
Falkirk,2021-11-15,5.008,0.285,4.840,58
Fauldhouse,2021-11-15,5.087,0.115,4.997,40
Forfar,2021-11-15,5.302,0.498,4.941,32
Forres,2021-11-15,5.405,0.449,5.081,20
Fort William,2021-11-15,4.764,0.062,4.711,48
Fraserburgh,2021-11-15,4.980,-0.506,5.345,38
Galashiels,2021-11-15,5.278,0.654,4.748,49
Girvan,2021-11-15,4.701,0.238,4.497,23
Guardbridge,2021-11-15,5.548,0.785,4.831,28
Haddington,2021-11-15,5.242,,4.928,2
Hamilton,2021-11-15,5.235,0.107,5.170,60
Harthill,2021-11-15,5.757,0.552,5.131,30
Hatton,2021-11-15,5.167,0.273,5.007,62
Hatton - Fintry East,2021-11-15,4.655,-0.363,5.012,23
Hatton - Fintry North,2021-11-15,5.136,0.542,4.778,23
Hatton - Fintry West,2021-11-15,5.118,0.711,4.508,23
Hawick,2021-11-15,5.330,0.503,4.924,55
Helensburgh,2021-11-15,4.929,0.089,4.870,52
Huntly,2021-11-15,4.963,0.139,4.856,20
Inverclyde,2021-11-15,4.880,0.379,4.677,47
Inverclyde - Gourock,2021-11-15,4.322,-0.859,4.702,27
Inverurie,2021-11-15,5.402,0.228,5.196,23
Ironmill Bay,2021-11-15,5.003,0.183,4.887,34
Jedburgh,2021-11-15,4.419,,5.241,2
Kelso,2021-11-15,5.121,0.992,4.338,22
Kinneil,2021-11-15,5.407,,5.209,2
Kirkcaldy,2021-11-15,5.526,0.559,5.246,39
Kirkwall,2021-11-15,5.068,0.893,4.384,42
Lanark,2021-11-15,4.839,0.192,4.714,31
Langholm,2021-11-15,3.988,-0.743,4.419,16
Largs,2021-11-15,4.288,-0.276,4.448,29
Lerwick,2021-11-15,4.186,1.120,3.060,32
Lesmahagow,2021-11-15,5.276,0.666,4.735,27
Levenmouth,2021-11-15,5.238,0.466,4.941,52
Linlithgow,2021-11-15,5.073,-0.079,5.141,42
Loch Ryan,2021-11-15,4.055,-0.258,4.240,19
Lockerbie,2021-11-15,5.067,0.613,4.462,46
Mauldslie,2021-11-15,4.990,-0.309,5.174,33
Meadowhead,2021-11-15,4.855,-0.122,4.921,60
Meadowhead - Kilmarnock HMP,2021-11-15,3.954,-1.151,4.986,23
Montrose,2021-11-15,5.422,,4.963,2
Nairn,2021-11-15,4.566,-0.353,4.860,43
Neilston,2021-11-15,4.932,0.341,4.647,30
New Cumnock,2021-11-15,4.729,-0.029,4.748,30
Newbridge,2021-11-15,4.940,,5.040,2
Newburgh,2021-11-15,5.825,1.233,4.633,32
Newport & Tayport,2021-11-15,4.667,0.186,4.501,33
Newtown St Boswell,2021-11-15,5.611,0.688,4.915,28
Nigg,2021-11-15,5.445,0.561,5.066,67
Paisley,2021-11-15,5.200,0.763,4.771,37
Paisley - Blackhall,2021-11-15,4.911,-0.003,4.914,28
Paisley - Brediland,2021-11-15,4.279,0.847,3.336,26
Peebles,2021-11-15,5.010,1.026,4.330,44
Penicuik,2021-11-15,5.287,0.313,5.064,30
Persley,2021-11-15,5.424,,5.519,2
Perth,2021-11-15,5.310,0.200,5.178,35
Peterhead,2021-11-15,4.696,0.223,4.529,41
Philipshill,2021-11-15,4.987,-0.061,5.023,64
Sanquhar,2021-11-15,4.203,0.170,4.069,21
Seafield,2021-11-15,5.084,0.272,4.938,60
Seafield - Cockenzie,2021-11-15,6.061,2.292,4.534,17
Seafield - Craigmillar,2021-11-15,4.464,,4.817,2
Seafield - Muirhouse,2021-11-15,5.261,,4.400,2
Seafield - Restalrig,2021-11-15,5.001,,5.302,2
Selkirk,2021-11-15,4.813,0.337,4.572,16
Shieldhall,2021-11-15,4.987,0.126,4.917,72
Shieldhall - Barrhead,2021-11-15,5.212,-0.458,5.548,28
Shieldhall - Gorbals,2021-11-15,5.749,2.298,4.734,29
Shieldhall - Pollockshields West,2021-11-15,5.071,0.234,4.923,20
Shotts,2021-11-15,5.137,0.324,4.949,31
Skellyton,2021-11-15,5.043,-0.306,5.276,29
Springfield,2021-11-15,4.825,-0.017,4.842,35
St Andrews,2021-11-15,5.668,0.823,5.109,35
St Andrews - University (2979),2021-11-15,3.537,-0.572,3.972,13
St Andrews - University (4964),2021-11-15,5.115,1.583,4.291,13
Stevenston,2021-11-15,4.472,0.265,4.350,40
Stevenston - Stevenston East,2021-11-15,3.605,-1.437,4.775,24
Stevenston - Stevenston West,2021-11-15,4.392,-0.238,4.570,26
Stirling,2021-11-15,4.859,0.743,4.436,53
Stonehouse,2021-11-15,4.352,-0.691,4.871,32
Strathaven,2021-11-15,4.428,-0.617,4.793,29
Swinstie,2021-11-15,4.674,-0.155,4.773,28
Thurso,2021-11-15,4.414,,,0
Tillicoultry,2021-11-15,5.572,-0.023,5.593,33
Troqueer,2021-11-15,5.027,-0.199,5.185,49
Turriff,2021-11-15,4.768,-0.158,4.903,20
Whitburn,2021-11-15,4.958,-0.135,5.057,43
Winchburgh,2021-11-15,5.145,0.055,5.099,39
Allanfearn,2021-11-22,5.220,0.483,4.864,67
Allers,2021-11-22,5.574,0.496,5.219,39
Alloa,2021-11-22,5.052,0.114,5.002,46
Alva,2021-11-22,5.409,0.223,5.246,34
Annan,2021-11-22,5.440,0.677,4.867,47
Ardoch,2021-11-22,4.665,-0.080,4.717,31
Armadale,2021-11-22,5.348,0.222,5.196,40
Aviemore,2021-11-22,5.209,-0.345,5.459,18
Banchory,2021-11-22,4.940,-0.163,5.092,26
Banff,2021-11-22,5.022,-0.057,5.086,27
Bathgate,2021-11-22,5.283,0.371,5.030,40
Blackburn,2021-11-22,4.732,-0.441,4.979,43
Blackridge,2021-11-22,4.942,0.463,4.538,39
Blairgowrie,2021-11-22,5.788,0.731,5.246,31
Boness,2021-11-22,4.780,0.132,4.676,35
Bonnybridge,2021-11-22,5.643,1.309,4.867,35
Bothwellbank,2021-11-22,5.005,0.057,4.964,38
Bowhouse,2021-11-22,4.886,-0.181,5.069,32
Buckie,2021-11-22,5.095,-0.042,5.112,16
Carbarns,2021-11-22,5.260,0.081,5.208,64
Coldstream,2021-11-22,4.985,-0.024,5.007,31
Cupar,2021-11-22,5.100,0.101,5.016,35
Dalbeattie,2021-11-22,5.166,0.368,4.844,37
Dalmuir,2021-11-22,5.295,0.307,5.127,65
Dalmuir - Auchinairn (6298),2021-11-22,4.307,-0.669,4.997,28
Dalmuir - Auchinairn (6330),2021-11-22,4.877,0.062,4.833,27
Dalmuir - SECC,2021-11-22,3.915,-1.852,5.327,7
Denny,2021-11-22,5.160,0.691,4.803,36
Dunbar,2021-11-22,5.406,0.586,4.967,26
Dunblane,2021-11-22,5.490,0.500,5.096,31
Dunfermline,2021-11-22,5.182,-0.235,5.359,65
Dunnswood,2021-11-22,4.901,-0.240,5.076,31
Duns,2021-11-22,4.724,-0.044,4.759,31
East Calder,2021-11-22,4.875,-0.531,5.153,46
Ellon,2021-11-22,5.412,0.335,5.110,24
Erskine,2021-11-22,4.961,,4.820,3
Eyemouth,2021-11-22,4.318,-0.702,4.974,19
Fairlie,2021-11-22,5.270,2.409,3.847,31
Falkirk,2021-11-22,4.927,0.036,4.906,59
Fauldhouse,2021-11-22,5.519,0.643,5.033,41
Forfar,2021-11-22,5.463,0.521,5.083,33
Forres,2021-11-22,5.369,0.216,5.208,21
Fort William,2021-11-22,4.440,-0.329,4.731,49
Fraserburgh,2021-11-22,5.060,-0.201,5.201,39
Galashiels,2021-11-22,5.704,0.910,4.957,50
Girvan,2021-11-22,4.591,0.016,4.577,24
Guardbridge,2021-11-22,4.960,-0.163,5.113,29
Haddington,2021-11-22,6.034,,5.052,3
Hamilton,2021-11-22,5.487,0.498,5.196,61
Hatton,2021-11-22,5.266,0.341,5.070,63
Hatton - Fintry North,2021-11-22,4.584,-0.519,4.918,24
Hawick,2021-11-22,4.822,-0.322,5.084,56
Helensburgh,2021-11-22,4.607,-0.434,4.893,53
Huntly,2021-11-22,5.243,0.455,4.898,21
Inverclyde,2021-11-22,4.834,0.147,4.756,48
Inverclyde - Gourock,2021-11-22,4.943,0.868,4.553,28
Inverurie,2021-11-22,5.499,0.248,5.277,24
Ironmill Bay,2021-11-22,4.813,-0.189,4.933,35
Jedburgh,2021-11-22,4.087,,4.918,3
Kelso,2021-11-22,4.608,-0.047,4.646,23
Kinneil,2021-11-22,5.438,,5.287,3
Kirkcaldy,2021-11-22,5.399,0.087,5.356,40
Kirkwall,2021-11-22,4.595,-0.074,4.653,43
Langholm,2021-11-22,4.581,0.571,4.250,17
Largs,2021-11-22,4.679,0.519,4.385,30
Lerwick,2021-11-22,4.935,1.432,3.503,33
Levenmouth,2021-11-22,5.085,0.042,5.057,53
Linlithgow,2021-11-22,5.368,0.299,5.114,43
Loch Ryan,2021-11-22,4.963,1.139,4.167,20
Lockerbie,2021-11-22,4.639,-0.062,4.700,47
Maybole,2021-11-22,5.376,0.424,4.952,24
Meadowhead,2021-11-22,5.084,0.356,4.895,61
Meadowhead - Kilmarnock HMP,2021-11-22,5.165,0.665,4.580,24
Montrose,2021-11-22,5.398,,5.144,3
Neilston,2021-11-22,4.806,0.057,4.759,31
Newbridge,2021-11-22,5.339,,5.001,3
Newburgh,2021-11-22,4.934,-0.166,5.102,33
Newport & Tayport,2021-11-22,5.139,0.660,4.566,34
Newtown St Boswell,2021-11-22,5.410,0.214,5.189,29
Nigg,2021-11-22,5.431,0.318,5.215,68
Paisley,2021-11-22,4.929,-0.019,4.940,38
Paisley - Blackhall,2021-11-22,5.472,0.792,4.913,29
Paisley - Brediland,2021-11-22,4.172,0.424,3.707,27
Penicuik,2021-11-22,5.208,0.081,5.151,31
Persley,2021-11-22,5.537,,5.482,3
Perth,2021-11-22,5.219,-0.016,5.230,36
Peterhead,2021-11-22,4.544,-0.068,4.595,42
Philipshill,2021-11-22,5.140,0.223,5.009,65
Sanquhar,2021-11-22,5.567,1.861,4.122,22
Seafield,2021-11-22,5.311,0.598,4.995,61
Seafield - Craigmillar,2021-11-22,4.794,,4.678,3
Seafield - Muirhouse,2021-11-22,5.676,,4.739,3
Seafield - Restalrig,2021-11-22,5.275,,5.184,3
Selkirk,2021-11-22,4.836,0.240,4.667,17
Shieldhall,2021-11-22,5.088,0.265,4.945,73
Shieldhall - Barrhead,2021-11-22,5.522,0.148,5.416,29
Shieldhall - Gorbals,2021-11-22,4.510,-0.912,4.951,30
Shieldhall - Pollockshields West,2021-11-22,5.022,0.066,4.982,21
Springfield,2021-11-22,4.913,0.084,4.835,36
St Andrews,2021-11-22,5.775,0.639,5.329,36
St Andrews - University (2979),2021-11-22,3.907,0.141,3.801,14
St Andrews - University (4964),2021-11-22,5.036,0.894,4.547,14
Stevenston,2021-11-22,5.115,1.592,4.398,41
Stevenston - Stevenston East,2021-11-22,4.607,0.286,4.375,25
Stevenston - Stevenston West,2021-11-22,4.893,0.539,4.500,27
Stirling,2021-11-22,4.778,0.306,4.602,54
Stirling - University,2021-11-22,4.355,-0.291,4.607,13
Thurso,2021-11-22,4.646,,4.414,1
Tillicoultry,2021-11-22,5.250,-0.355,5.584,34
Troqueer,2021-11-22,5.206,0.107,5.123,50
Turriff,2021-11-22,4.910,0.072,4.850,21
Whitburn,2021-11-22,5.073,0.078,5.018,44
Winchburgh,2021-11-22,4.556,-0.673,5.117,40
Allanfearn,2021-11-29,5.229,0.308,5.004,68
Alloa,2021-11-29,5.315,0.688,5.022,47
Annan,2021-11-29,5.195,0.120,5.092,48
Ardoch,2021-11-29,4.816,0.185,4.696,32
Armadale,2021-11-29,5.078,-0.264,5.256,41
Aviemore,2021-11-29,5.606,0.349,5.361,19
Banchory,2021-11-29,4.800,-0.252,5.032,27
Banff,2021-11-29,4.797,-0.239,5.061,28
Blackburn,2021-11-29,5.063,0.332,4.881,44
Blackridge,2021-11-29,4.941,0.287,4.697,40
Bonnybridge,2021-11-29,5.578,0.684,5.159,36
Bowhouse,2021-11-29,4.959,-0.038,4.997,33
Carbarns,2021-11-29,5.324,0.153,5.229,65
Cumnock,2021-11-29,4.630,-0.927,5.390,30
Cupar,2021-11-29,5.119,0.085,5.049,36
Dalbeattie,2021-11-29,4.861,-0.125,4.971,38
Dalmuir,2021-11-29,5.267,0.136,5.193,66
Denny,2021-11-29,5.043,0.192,4.944,37
Dunoon,2021-11-29,4.487,,,0
East Calder,2021-11-29,5.503,0.899,5.044,47
Erskine,2021-11-29,5.211,,4.876,4
Falkirk,2021-11-29,5.562,1.142,4.914,60
Forfar,2021-11-29,4.972,-0.352,5.233,34
Forres,2021-11-29,5.203,-0.091,5.272,22
Fort William,2021-11-29,4.271,-0.390,4.617,50
Fraserburgh,2021-11-29,4.863,-0.410,5.146,40
Haddington,2021-11-29,5.078,,5.438,4
Hamilton,2021-11-29,5.098,-0.367,5.310,62
Hatton,2021-11-29,5.116,-0.056,5.147,64
Hawick,2021-11-29,4.994,0.017,4.981,57
Huntly,2021-11-29,3.842,-1.575,5.034,22
Inverclyde,2021-11-29,4.968,0.350,4.787,49
Inverurie,2021-11-29,5.230,-0.151,5.365,25
Ironmill Bay,2021-11-29,4.854,-0.051,4.886,36
Kirkwall,2021-11-29,4.188,-0.563,4.630,44
Largs,2021-11-29,4.846,0.613,4.501,31
Lesmahagow,2021-11-29,5.102,0.190,4.948,28
Levenmouth,2021-11-29,4.706,-0.552,5.068,54
Linlithgow,2021-11-29,5.588,0.443,5.214,44
Meadowhead,2021-11-29,5.022,0.100,4.970,62
Meadowhead - Kilmarnock HMP,2021-11-29,4.357,-0.519,4.810,25
Montrose,2021-11-29,5.003,,5.244,4
Nairn,2021-11-29,5.076,0.406,4.744,44
Newbridge,2021-11-29,4.996,,5.134,4
Newburgh,2021-11-29,4.498,-0.534,5.036,34
Newport & Tayport,2021-11-29,5.376,0.679,4.792,35
Nigg,2021-11-29,5.190,-0.162,5.300,69
Paisley,2021-11-29,4.943,0.013,4.936,39
Persley,2021-11-29,5.283,,5.503,4
Perth,2021-11-29,5.226,0.000,5.226,37
Peterhead,2021-11-29,4.730,0.212,4.575,43
Philipshill,2021-11-29,5.243,0.317,5.061,66
Seafield,2021-11-29,5.173,0.102,5.119,62
Shieldhall,2021-11-29,5.180,0.339,5.001,74
Shotts,2021-11-29,5.261,0.415,5.023,32
Stevenston,2021-11-29,4.668,0.104,4.619,42
Stevenston - Stevenston East,2021-11-29,4.302,-0.208,4.466,26
Stirling,2021-11-29,4.753,0.143,4.671,55
Stornoway,2021-11-29,3.631,-1.171,4.368,18
Strathaven,2021-11-29,4.110,-0.936,4.649,30
Thurso,2021-11-29,5.015,,4.505,2
Troqueer,2021-11-29,5.073,-0.107,5.156,51
Whitburn,2021-11-29,4.883,-0.224,5.040,45
Winchburgh,2021-11-29,4.116,-0.960,4.896,41
Allanfearn,2021-12-06,4.948,-0.199,5.093,69
Allers,2021-12-06,5.387,0.040,5.358,40
Alloa,2021-12-06,4.974,-0.383,5.137,48
Alva,2021-12-06,4.627,-0.936,5.310,35
Annan,2021-12-06,3.466,-1.964,5.133,49
Ardoch,2021-12-06,4.679,-0.099,4.743,33
Armadale,2021-12-06,5.453,0.405,5.186,42
Aviemore,2021-12-06,5.404,-0.077,5.457,20
Banchory,2021-12-06,4.477,-0.515,4.941,28
Banff,2021-12-06,4.040,-0.847,4.957,29
Bathgate,2021-12-06,4.619,-0.751,5.129,41
Blackburn,2021-12-06,5.109,0.291,4.953,45
Blackridge,2021-12-06,4.953,0.191,4.793,41
Blackwood,2021-12-06,4.119,-0.751,4.718,31
Blairgowrie,2021-12-06,4.500,-1.258,5.459,32
Boness,2021-12-06,5.162,0.578,4.717,36
Bonnybridge,2021-12-06,5.037,-0.459,5.324,37
Bothwellbank,2021-12-06,4.652,-0.478,4.980,39
Bowhouse,2021-12-06,4.596,-0.394,4.982,34
Buckie,2021-12-06,4.586,-1.268,5.105,17
Carbarns,2021-12-06,5.043,-0.366,5.266,66
Coldstream,2021-12-06,3.926,-1.192,4.998,32
Cumnock,2021-12-06,5.070,-0.026,5.091,31
Cupar,2021-12-06,4.507,-0.687,5.077,37
Dalmuir,2021-12-06,5.126,-0.181,5.222,67
Dalmuir - Auchinairn (6298),2021-12-06,4.893,0.166,4.726,29
Dalmuir - Auchinairn (6330),2021-12-06,3.737,-1.586,4.850,28
Denny,2021-12-06,5.217,0.451,4.983,38
Dunbar,2021-12-06,5.326,0.247,5.140,27
Dunblane,2021-12-06,4.401,-1.075,5.251,32
Dunfermline,2021-12-06,5.374,0.115,5.289,66
Dunoon,2021-12-06,4.378,,4.487,1
Duns,2021-12-06,5.258,0.645,4.745,32
East Calder,2021-12-06,5.196,-0.056,5.225,48
Ellon,2021-12-06,4.983,-0.271,5.229,25
Erskine,2021-12-06,5.085,,5.008,5
Eyemouth,2021-12-06,4.386,-0.362,4.716,20
Falkirk,2021-12-06,5.032,-0.234,5.169,61
Fauldhouse,2021-12-06,4.738,-0.644,5.224,42
Forfar,2021-12-06,4.838,-0.402,5.130,35
Forres,2021-12-06,4.606,-0.845,5.245,23
Fort William,2021-12-06,4.562,0.092,4.481,51
Fraserburgh,2021-12-06,4.601,-0.645,5.034,41
Galashiels,2021-12-06,4.118,-1.324,5.250,51
Girvan,2021-12-06,5.077,0.594,4.583,25
Guardbridge,2021-12-06,4.328,-0.775,5.053,30
Haddington,2021-12-06,5.093,,5.297,5
Hamilton,2021-12-06,5.101,-0.223,5.227,63
Harthill,2021-12-06,5.225,-0.133,5.377,31
Hatton,2021-12-06,4.953,-0.325,5.135,65
Hatton - Fintry East,2021-12-06,4.710,-0.168,4.871,24
Hatton - Fintry North,2021-12-06,4.767,-0.031,4.787,25
Hatton - Fintry West,2021-12-06,4.348,-0.475,4.748,24
Hawick,2021-12-06,4.838,-0.188,4.986,58
Helensburgh,2021-12-06,5.028,0.384,4.780,54
Huntly,2021-12-06,4.065,-0.791,4.662,23
Inverclyde,2021-12-06,4.835,-0.045,4.858,50
Inverclyde - Gourock,2021-12-06,4.586,-0.275,4.706,29
Inverurie,2021-12-06,4.522,-0.898,5.312,26
Ironmill Bay,2021-12-06,4.993,0.194,4.873,37
Jedburgh,2021-12-06,4.643,,4.591,4
Kelso,2021-12-06,4.611,-0.025,4.631,24
Kinneil,2021-12-06,5.076,,5.346,4
Kirkcaldy,2021-12-06,5.264,-0.219,5.373,41
Kirkwall,2021-12-06,3.905,-0.718,4.456,45
Langholm,2021-12-06,3.746,-1.127,4.380,18
Largs,2021-12-06,4.598,-0.069,4.637,32
Levenmouth,2021-12-06,5.094,0.262,4.926,55
Linlithgow,2021-12-06,5.388,0.032,5.361,45
Loch Ryan,2021-12-06,3.411,-1.519,4.480,21
Lockerbie,2021-12-06,4.096,-0.601,4.676,48
Maybole,2021-12-06,5.137,0.018,5.119,25
Meadowhead,2021-12-06,4.855,-0.266,4.990,63
Meadowhead - Kilmarnock HMP,2021-12-06,4.068,-0.662,4.632,26
Montrose,2021-12-06,4.501,,5.149,5
New Cumnock,2021-12-06,4.799,0.091,4.741,31
Newbridge,2021-12-06,5.073,,5.080,5
Newburgh,2021-12-06,4.959,0.136,4.824,35
Newport & Tayport,2021-12-06,4.219,-0.928,5.022,36
Newtown St Boswell,2021-12-06,4.174,-1.056,5.276,30
Nigg,2021-12-06,4.891,-0.551,5.257,70
Paisley,2021-12-06,4.791,-0.277,4.939,40
Paisley - Brediland,2021-12-06,4.080,0.177,3.890,28
Peebles,2021-12-06,4.348,-0.362,4.597,45
Persley,2021-12-06,4.943,,5.417,5
Perth,2021-12-06,4.988,-0.369,5.226,38
Peterhead,2021-12-06,4.616,-0.027,4.636,44
Philipshill,2021-12-06,4.982,-0.267,5.132,67
Seafield,2021-12-06,5.099,-0.080,5.140,63
Seafield - Cockenzie,2021-12-06,4.391,-0.660,4.861,18
Seafield - Craigmillar,2021-12-06,4.622,,4.724,4
Seafield - Muirhouse,2021-12-06,4.909,,5.108,4
Selkirk,2021-12-06,3.919,-1.166,4.734,18
Shieldhall,2021-12-06,4.813,-0.498,5.072,75
Shieldhall - Barrhead,2021-12-06,5.391,-0.093,5.458,30
Shieldhall - Gorbals,2021-12-06,4.232,-1.149,4.778,31
Shieldhall - Pollockshields West,2021-12-06,4.260,-1.224,4.998,22
Shotts,2021-12-06,4.890,-0.396,5.117,33
Skellyton,2021-12-06,5.140,-0.059,5.184,30
Springfield,2021-12-06,4.885,0.021,4.866,37
St Andrews,2021-12-06,4.617,-1.234,5.504,37
St Andrews - University (2979),2021-12-06,1.986,-2.559,3.842,15
St Andrews - University (4964),2021-12-06,3.963,-1.393,4.739,15
Stevenston,2021-12-06,4.818,0.394,4.638,43
Stevenston - Stevenston East,2021-12-06,4.480,0.101,4.402,27
Stevenston - Stevenston West,2021-12-06,3.719,-1.303,4.655,28
Stirling,2021-12-06,4.598,-0.184,4.704,56
Stirling - University,2021-12-06,2.275,-2.682,4.508,14
Stonehouse,2021-12-06,4.909,0.331,4.666,33
Thurso,2021-12-06,4.203,,4.706,3
Tillicoultry,2021-12-06,4.912,-0.585,5.453,35
Troqueer,2021-12-06,4.680,-0.584,5.123,52
Turriff,2021-12-06,3.714,-1.412,4.874,22
Whitburn,2021-12-06,4.950,-0.041,4.978,46
Winchburgh,2021-12-06,5.093,0.632,4.589,42
Allanfearn,2021-12-13,4.868,-0.237,5.036,70
Allers,2021-12-13,5.398,0.039,5.370,41
Alloa,2021-12-13,4.872,-0.486,5.073,49
Alva,2021-12-13,5.083,0.058,5.041,36
Annan,2021-12-13,4.632,-0.097,4.716,50
Ardoch,2021-12-13,4.270,-0.698,4.718,34
Aviemore,2021-12-13,5.693,0.379,5.436,21
Banchory,2021-12-13,5.073,0.357,4.758,29
Banff,2021-12-13,4.959,0.342,4.596,30
Bathgate,2021-12-13,4.960,0.048,4.928,42
Blackburn,2021-12-13,4.947,-0.126,5.014,46
Blackridge,2021-12-13,5.092,0.290,4.856,42
Blackwood,2021-12-13,5.358,1.113,4.482,32
Blairgowrie,2021-12-13,4.615,-0.629,5.084,33
Boness,2021-12-13,5.230,0.439,4.892,37
Bonnybridge,2021-12-13,5.161,-0.082,5.211,38
Bothwellbank,2021-12-13,5.414,0.839,4.851,40
Bowhouse,2021-12-13,5.029,0.207,4.830,35
Buckie,2021-12-13,4.454,-1.109,4.904,18
Carbarns,2021-12-13,5.507,0.551,5.178,67
Coldstream,2021-12-13,5.738,1.316,4.576,33
Cumnock,2021-12-13,4.490,-0.755,5.083,32
Cupar,2021-12-13,5.015,0.201,4.852,38
Dalbeattie,2021-12-13,4.915,-0.015,4.928,39
Dalmuir,2021-12-13,5.305,0.231,5.184,68
Dalmuir - Auchinairn (6298),2021-12-13,5.061,0.272,4.792,30
Dalmuir - Auchinairn (6330),2021-12-13,5.089,0.820,4.505,29
Denny,2021-12-13,5.110,0.067,5.075,39
Dunbar,2021-12-13,5.116,-0.128,5.213,28
Dunblane,2021-12-13,5.136,0.284,4.917,33
Dunfermline,2021-12-13,5.464,0.195,5.323,67
Dunnswood,2021-12-13,4.283,-1.020,5.007,32
Dunoon,2021-12-13,4.859,,4.444,2
Duns,2021-12-13,4.777,-0.207,4.947,33
East Calder,2021-12-13,5.679,0.930,5.213,49
Ellon,2021-12-13,4.676,-0.509,5.132,26
Erskine,2021-12-13,5.294,,5.038,6
Eyemouth,2021-12-13,4.573,-0.015,4.586,21
Fairlie,2021-12-13,4.529,0.574,4.138,32
Falkirk,2021-12-13,5.361,0.427,5.115,62
Fauldhouse,2021-12-13,5.170,0.186,5.033,43
Forfar,2021-12-13,4.821,-0.274,5.015,36
Forres,2021-12-13,5.386,0.532,4.993,24
Fraserburgh,2021-12-13,4.572,-0.444,4.864,42
Galashiels,2021-12-13,4.835,0.006,4.830,52
Girvan,2021-12-13,4.785,0.009,4.777,26
Guardbridge,2021-12-13,5.057,0.317,4.768,31
Hamilton,2021-12-13,5.475,0.541,5.177,64
Harthill,2021-12-13,5.988,0.589,5.317,32
Hatton,2021-12-13,5.255,0.353,5.063,66
Hatton - Fintry East,2021-12-13,4.711,-0.104,4.808,25
Hatton - Fintry North,2021-12-13,4.640,-0.224,4.779,26
Hatton - Fintry West,2021-12-13,6.056,1.777,4.591,25
Helensburgh,2021-12-13,4.690,-0.291,4.878,55
Huntly,2021-12-13,5.256,1.119,4.427,24
Inverclyde,2021-12-13,5.116,0.535,4.849,51
Inverclyde - Gourock,2021-12-13,4.400,-0.598,4.659,30
Inverurie,2021-12-13,5.162,0.188,5.001,27
Ironmill Bay,2021-12-13,4.801,-0.194,4.920,38
Kelso,2021-12-13,5.342,0.905,4.623,25
Kinneil,2021-12-13,5.605,,5.240,5
Kirkcaldy,2021-12-13,5.456,0.259,5.330,42
Kirkwall,2021-12-13,3.661,-0.772,4.239,46
Langholm,2021-12-13,3.995,-0.234,4.131,19
Largs,2021-12-13,4.748,0.227,4.621,33
Lerwick,2021-12-13,3.924,-0.068,3.995,34
Lesmahagow,2021-12-13,4.881,-0.159,5.008,29
Levenmouth,2021-12-13,5.363,0.576,4.992,56
Linlithgow,2021-12-13,5.208,-0.194,5.372,46
